Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D,Net Income LTM,Market Cap (USD),Cash Flow Yield,Net Debt (USD),EV at Low Date (USD),P/E at Low Date,Debt Years
LNTH,"Lantheus Holdings, Inc.","Lantheus Holdings, Inc. develops, manufactures, and commercializes diagnostic and therapeutic products that assist clinicians in diagnosis and treatment of heart, cancer, and other diseases worldwide.",USD,67.16,67.16,2025-12-30,50.11,2025-09-22,30.1,123.62,2024-07-11,50.11,2025-09-22,59.5,1090906,0.0233,2025-12-12,81.0,2025-12-12,81.0,50.11,2025-09-22,2025-12-12,True,595891000,4728993280,0.1298,237430976,3644617824,12.57,0.58
MBWM,MERCANTILE BANK CORP,Mercantile Bank Corporation operates as the bank holding company for Mercantile Bank that provides commercial and retail banking services to small- to medium-sized businesses and individuals in the United States.,USD,48.0,48.0,2025-12-30,37.6,2025-04-11,7.9,50.14,2025-02-11,37.6,2025-04-11,25.0,88413,0.0163,2025-07-03,83.0,2025-07-03,83.0,37.85,2025-04-14,2025-12-11,True,281894000,862676864,0.0441,265526016,931687051,11.33,4.08
MIDD,MIDDLEBY Corp,"The Middleby Corporation designs, manufactures, markets, distributes, and services commercial restaurant, food processing, and residential kitchen equipment worldwide.",USD,150.92,150.92,2025-12-30,111.68,2025-11-19,12.7,199.65,2022-02-09,111.05,2023-11-01,44.4,817466,0.021,2023-12-14,43.0,2025-12-11,22.0,111.68,2025-11-19,2025-12-11,True,1754376000,8035184640,0.0779,1918113968,7578322852,,3.25
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,"Westinghouse Air Brake Technologies Corporation provides technology-based locomotives, equipment, systems, and services for the freight rail and passenger transit industries worldwide.",USD,216.69,216.69,2025-12-30,159.62,2025-04-08,9.3,221.71,2025-12-22,216.69,2025-12-30,2.3,815843,0.0131,,,2025-06-30,83.0,166.44,2025-04-21,2025-12-11,True,3062000000,38027714560,0.038,5172999936,33733107012,34.96,4.08
BY,"BYLINE BANCORP, INC.","Byline Bancorp, Inc. operates as the bank holding company for Byline Bank that provides various banking products and services for small and medium sized businesses, commercial real estate and financial sponsors, and consumers in the United States.",USD,29.31,29.31,2025-12-30,22.99,2025-04-11,7.1,31.58,2024-11-11,22.99,2025-04-11,27.2,203076,0.0172,2025-12-10,243.0,2025-12-10,243.0,23.32,2025-04-14,2025-12-11,True,409376000,1392000640,0.0679,316439008,1398392619,12.17,2.45
EVCM,EverCommerce Inc.,"EverCommerce Inc. , together with its subsidiaries, provides integrated software-as-a-service solutions for service-based small and medium-sized businesses in the United States and internationally.",USD,12.14,12.14,2025-12-30,8.03,2025-11-19,12.0,22.92,2021-08-26,5.94,2022-12-07,74.1,326956,0.0429,2023-01-04,28.0,2025-12-11,22.0,8.03,2025-11-19,2025-12-11,True,-228491000,2188034560,0.0587,437075016,1892743370,,3.93
GSBC,"GREAT SOUTHERN BANCORP, INC.","Great Southern Bancorp, Inc. operates as a bank holding company for Great Southern Bank that provides a range of financial services in the United States.",USD,61.53,61.53,2025-12-30,49.51,2025-04-10,2.1,65.79,2025-12-18,61.53,2025-12-30,6.5,54546,0.0203,,,2025-12-11,245.0,49.53,2025-04-14,2025-12-11,True,280182000,717990528,0.043,310556992,883318131,11.79,5.16
OLPX,"OLAPLEX HOLDINGS, INC.","Olaplex Holdings, Inc. , through its subsidiaries, develops, manufactures, and sells haircare products in the United States and internationally.",USD,1.45,1.45,2025-12-30,1.01,2025-11-18,11.5,29.41,2022-01-03,1.01,2025-11-18,96.6,1251376,0.0369,2025-12-10,22.0,2025-12-10,22.0,1.01,2025-11-18,2025-12-10,True,545965000,1108069760,0.0979,65716992,739904010,,0.91
PLTK,Playtika Holding Corp.,"Playtika Holding Corp. , together with its subsidiaries, develops mobile games in the United States, Europe, the Middle East, Africa, the Asia Pacific, and internationally.",USD,4.02,4.02,2025-12-30,3.26,2025-09-19,5.1,29.44,2021-02-09,3.26,2025-09-19,88.9,983236,0.0251,2025-12-10,82.0,2025-12-10,82.0,3.26,2025-09-19,2025-12-10,True,981000000,1406448896,0.1238,1891199872,3184831938,14.97,5.46
MTPLF,Metaplanet Inc.,Metaplanet Inc. engages in hotel management operation and development in Japan.,USD,2.58,2.58,2025-12-30,1.89,2025-02-28,-31.2,15.35,2025-05-21,2.17,2025-11-21,85.9,2856610,0.056,2025-12-10,19.0,2025-03-03,3.0,2.17,2025-11-21,2025-12-10,True,3996525000,3771039744,0.1234,1725999616,4299319036,0.14,3.25
CTBI,COMMUNITY TRUST BANCORP INC /KY/,"Community Trust Bancorp, Inc. operates as the bank holding company for Community Trust Bank, Inc.",USD,56.91,56.91,2025-12-30,44.41,2025-04-11,4.5,61.14,2025-12-16,56.91,2025-12-30,6.9,63103,0.0169,,,2025-09-04,146.0,44.89,2025-04-14,2025-12-10,True,330570000,1064668416,0.0798,283343992,1119028033,12.55,2.73
PCAR,PACCAR INC,"PACCAR Inc designs, manufactures, and distributes light, medium, and heavy-duty commercial trucks in the United States, Canada, Europe, Mexico, South America, Australia, and internationally.",USD,110.96,110.96,2025-12-30,84.46,2025-04-08,15.4,116.89,2024-03-27,84.46,2025-04-08,27.7,3365773,0.0157,2025-12-10,246.0,2025-12-10,246.0,84.86,2025-04-16,2025-12-10,True,13639900000,62079152128,0.0464,6901299200,52494288323,19.41,2.16
AOMFF,ALSTOM,"Alstom SA provides solutions for rail transport industry in Europe, the Americas, the Asia Pacific, the Middle East, Central Asia, and Africa.",USD,29.34,29.34,2025-12-30,19.11,2025-04-07,16.5,57.45,2021-01-08,11.95,2024-01-19,79.2,63,0.0179,2024-04-09,81.0,2025-05-08,31.0,20.98,2025-05-14,2025-12-09,True,-873000000,14339290112,0.0402,2200000000,12191307993,67.06,4.49
BBWI,"Bath & Body Works, Inc.","Bath & Body Works, Inc. operates as a specialty retailer of home fragrance, personal and body care, soaps, and sanitizer products.",USD,20.19,20.19,2025-12-30,14.85,2025-11-21,-20.3,71.27,2021-11-18,14.85,2025-11-21,79.2,9806580,0.045,2025-12-08,17.0,2025-12-08,17.0,14.85,2025-11-21,2025-12-08,True,3809000000,4694891520,0.1212,4743999744,7805885326,4.38,5.01
TFII,TFI International Inc.,"TFI International Inc. , together with its subsidiaries, provides transportation and logistics services in the United States, Mexico, and Canada.",USD,104.66,104.66,2025-12-30,73.38,2025-04-08,17.9,158.91,2024-04-09,73.38,2025-04-08,53.8,294980,0.0227,2025-08-22,136.0,2025-08-22,136.0,76.17,2025-04-16,2025-12-08,True,2504998000,9115626496,0.061,2962599096,9304516990,23.86,4.32
ANGI,Angi Inc.,Angi Inc. connects home professionals with consumers in the United States and internationally.,USD,13.0,13.0,2025-12-30,10.42,2025-11-19,-17.9,180.7,2021-02-08,10.42,2025-11-19,94.2,1098303,0.0303,2025-12-05,16.0,2025-12-05,16.0,10.42,2025-11-19,2025-12-05,True,-204764000,623450816,0.093,196373984,658419326,13.08,3.21
HUBG,"Hub Group, Inc.","Hub Group, Inc. , a supply chain solutions provider, offers transportation and logistics management services in North America.",USD,43.12,43.12,2025-12-30,30.97,2025-05-06,29.0,52.35,2024-11-25,30.97,2025-05-06,40.8,772123,0.0209,2025-12-05,213.0,2025-12-05,213.0,30.97,2025-05-06,2025-12-05,True,799993000,2805693440,0.0328,379060008,2294620754,25.6,3.34
HLX,HELIX ENERGY SOLUTIONS GROUP INC,"Helix Energy Solutions Group, Inc.",USD,6.3,6.3,2025-12-30,5.7,2025-08-20,-5.5,12.82,2024-07-16,5.7,2025-08-20,55.5,1623620,0.0273,2025-12-04,106.0,2025-12-04,106.0,5.7,2025-08-20,2025-12-04,True,-104523000,1026624768,0.0965,284424032,1122785231,16.73,3.63
ICHGF,INTERCONTINENTAL HOTELS GROUP PLC /NEW/,"InterContinental Hotels Group PLC owns, manages, franchises, and leases hotels in the United Kingdom, the United States, and internationally.",USD,137.2,137.2,2025-12-30,96.79,2025-04-04,18.1,138.0,2025-12-17,137.2,2025-12-24,0.6,63,0.0169,,,2025-11-11,221.0,100.12,2025-04-24,2025-12-04,True,2019000000,20119721984,0.0348,3489000000,18555466403,23.99,5.4
MATX,"Matson, Inc.","Matson, Inc. , together with its subsidiaries, engages in the provision of ocean transportation and logistics services.",USD,124.33,124.33,2025-12-30,87.76,2025-10-10,26.3,165.28,2024-11-13,87.76,2025-10-10,46.9,323876,0.0246,2025-12-03,54.0,2025-12-03,54.0,87.76,2025-10-10,2025-12-03,True,2764800000,4167222528,0.0471,626300000,3425323220,6.51,3.88
MSBI,"Midland States Bancorp, Inc.","Midland States Bancorp, Inc. operates as a financial holding company for Midland States Bank that provides various banking products and services to individuals, businesses, municipalities, and other entities.",USD,21.17,21.17,2025-12-30,14.33,2025-04-14,28.5,25.74,2024-11-06,14.33,2025-04-14,44.3,210146,0.0274,2025-12-03,233.0,2025-12-03,233.0,14.33,2025-04-14,2025-12-03,True,280753000,477586112,0.2113,444495008,770788071,,1.99
OSSUY,Embla Medical HF/ADR,"Embla Medical hf. , together with its subsidiaries, provides non-invasive orthopedic products in Europe, the Middle East, Africa, the Americas, and the Asia-Pacific.",USD,5.54,5.54,2025-12-30,4.0,2025-05-08,38.5,9.0,2024-05-14,3.76,2024-06-13,58.2,3,0.0316,2025-11-03,508.0,2025-12-03,209.0,4.0,2025-05-08,2025-12-03,True,233174000,2303528960,0.0423,460364016,2171434660,23.71,5.33
CSW,"CSW INDUSTRIALS, INC.","CSW Industrials, Inc. provides various industrial products in the United States and internationally.",USD,302.09,302.09,2025-12-30,231.57,2025-10-10,19.9,430.44,2024-11-25,231.57,2025-10-10,46.2,173776,0.0225,2025-12-03,54.0,2025-12-03,54.0,231.57,2025-10-10,2025-12-03,True,401120000,5384014848,0.0376,103985000,3999133487,28.03,0.69
QCRH,QCR HOLDINGS INC,"QCR Holdings, Inc. , a multi-bank holding company, provides commercial and consumer banking, and trust and asset management services.",USD,82.79,82.79,2025-12-30,63.45,2025-04-11,8.7,93.48,2024-11-26,63.45,2025-04-11,32.1,103740,0.0184,2025-12-01,234.0,2025-12-01,234.0,63.85,2025-04-14,2025-12-02,True,425379000,1415962240,0.256,408955008,1486628800,12.86,1.98
EXE,EXPAND ENERGY Corp,Expand Energy Corporation operates as an independent natural gas production company in the United States.,USD,112.02,112.02,2025-12-30,92.58,2025-08-18,3.1,122.89,2025-12-03,106.58,2025-12-16,13.3,3186990,0.0215,,,2025-11-28,102.0,92.58,2025-08-18,2025-11-28,True,867000000,24841099264,0.0439,4459999936,26616926557,107.56,3.18
DAC,Danaos Corp,"Danaos Corporation, through its subsidiaries, owns and operates containerships and drybulk vessels in Australia, Europe, and the United States.",USD,93.97,93.97,2025-12-30,65.8,2025-04-08,5.2,98.52,2025-12-03,92.19,2025-12-19,6.4,79460,0.0115,,,2025-05-12,34.0,74.83,2025-04-15,2025-11-26,True,2693423000,1809547904,0.0315,39856960,1423887267,4.21,0.12
STLJF,Stella-Jones Inc./ADR,"Stella-Jones Inc. , together with its subsidiaries, manufactures and sells industrial pressure-treated wood products in Canada and the United States.",USD,62.73,62.73,2025-12-30,44.31,2025-04-08,15.5,68.41,2024-09-05,44.31,2025-04-08,35.2,2190,0.0179,2025-07-07,90.0,2025-07-07,90.0,46.93,2025-04-15,2025-11-26,True,1113000000,3544340992,0.0764,1462000064,4112100615,7.91,4.06
GPOR,GULFPORT ENERGY CORP,"Gulfport Energy Corporation engages in the acquisition, exploration, and production of natural gas, crude oil, and natural gas liquids in the United States.",USD,213.07,213.07,2025-12-30,158.62,2025-04-08,11.8,222.49,2025-11-28,199.32,2025-12-18,10.4,224246,0.0196,,,2025-06-20,73.0,163.8,2025-08-19,2025-11-26,True,-9177000,3467176192,0.074,689058984,3853153995,,2.25
L,LOEWS CORP,"Loews Corporation, through its subsidiaries, provides commercial property and casualty insurance in the United States and internationally.",USD,106.19,106.19,2025-12-30,80.73,2025-04-07,6.1,108.26,2025-11-26,101.41,2025-12-08,6.3,870826,0.0095,,,2025-11-18,225.0,83.18,2025-04-21,2025-11-26,True,5232000000,21881409536,0.1083,3013000192,20299915192,18.04,0.99
NCLTF,"Nitori Holdings Co., Ltd.","Nitori Holdings Co. , Ltd.",USD,16.39,16.39,2025-12-30,13.25,2025-10-30,-4.7,223.08,2021-01-08,13.25,2025-10-30,94.1,336,0.0538,2025-11-25,26.0,2025-11-25,26.0,13.25,2025-10-30,2025-11-25,True,361544000000,11941222400,0.5456,26422001664,34960651782,0.1,1.39
LZB,LA-Z-BOY INC,"La-Z-Boy Incorporated manufactures, markets, imports, exports, distributes, and retails upholstery furniture products in the United States, Canada, and internationally.",USD,37.75,37.75,2025-12-30,29.16,2025-11-17,12.2,46.94,2025-01-30,29.16,2025-11-17,37.9,645140,0.0291,2025-11-25,8.0,2025-11-25,8.0,29.16,2025-11-17,2025-11-25,True,522863000,1609534720,0.091,161758016,1372002802,13.38,1.3
MDT,Medtronic plc,"Medtronic plc develops, manufactures, and sells device-based medical therapies to healthcare systems, physicians, clinicians, and patients in the United States, Ireland, and internationally.",USD,96.66,96.66,2025-12-30,77.74,2024-12-30,2.0,118.43,2021-09-08,65.02,2023-10-27,45.1,7240060,0.0118,2024-08-23,301.0,2025-11-21,326.0,79.41,2025-05-23,2025-11-25,True,17135000000,126581383168,0.038,20772999168,124254459408,28.59,3.99
ANF,ABERCROMBIE & FITCH CO /DE/,"Abercrombie & Fitch Co. , through its subsidiaries, operates as an omnichannel retailer in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific.",USD,127.55,127.55,2025-12-30,65.61,2025-11-24,48.0,192.34,2024-06-12,65.61,2025-11-24,65.9,2545690,0.0489,2025-11-25,1.0,2025-11-25,1.0,65.61,2025-11-24,2025-11-25,True,1160172000,6166146560,0.1072,499849920,3588100773,5.92,1.3
EAT,"BRINKER INTERNATIONAL, INC","Brinker International, Inc. , together with its subsidiaries, owns, develops, operates, and franchises casual dining restaurants in the United States and internationally.",USD,142.78,142.78,2025-12-30,102.29,2025-11-06,14.2,189.14,2025-02-03,102.29,2025-11-06,45.9,1409173,0.0296,2025-11-21,15.0,2025-11-21,15.0,102.29,2025-11-06,2025-11-21,True,758600000,7108994560,0.0742,1787000064,6331869189,10.23,3.81
MRK,"Merck & Co., Inc.","Merck & Co. , Inc.",USD,106.06,106.06,2025-12-30,71.42,2025-05-14,18.7,126.28,2024-06-24,71.42,2025-05-14,43.4,15453316,0.0165,2025-11-18,188.0,2025-11-18,188.0,71.42,2025-05-14,2025-11-18,True,45050000000,277228978176,0.059,23159998464,206672134099,15.32,1.77
NWSGY,CTF Services Ltd,"CTF Services Limited is a conglomerate company with a diversified portfolio of businesses in toll roads, insurance, logistics, construction, and facilities management primarily in Hong Kong and the Mainland.",USD,9.72,9.72,2025-12-30,7.22,2025-01-28,8.2,10.37,2025-11-21,8.15,2025-12-17,21.4,274,0.0407,,,2025-10-03,248.0,7.62,2025-06-02,2025-11-17,True,8467500000,4472516608,0.2354,4252798976,8318095579,1.6,2.17
GILD,"GILEAD SCIENCES, INC.","Gilead Sciences, Inc. , a biopharmaceutical company, discovers, develops, and commercializes medicines in the areas of unmet medical need in the United States, Europe, and internationally.",USD,123.18,123.18,2025-12-30,86.72,2025-01-08,11.6,127.23,2025-11-19,118.58,2025-12-09,6.8,6977663,0.0146,,,2025-03-03,54.0,94.94,2025-05-09,2025-11-13,True,16962000000,149728165888,0.0633,16451000832,136697603702,27.64,1.8
UFPT,UFP TECHNOLOGIES INC,"UFP Technologies, Inc. designs and manufactures solutions for medical devices, sterile packaging, and other engineered custom products in the United States.",USD,235.14,235.14,2025-12-30,185.28,2025-10-30,17.8,358.42,2024-09-20,185.28,2025-10-30,48.3,138346,0.0274,2025-11-11,12.0,2025-11-11,12.0,185.28,2025-10-30,2025-11-11,False,161580000,1969912448,0.0555,147282992,1576244607,21.29,1.68
AMGN,AMGEN INC,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide.",USD,328.69,328.69,2025-12-30,250.44,2025-01-06,10.9,345.46,2025-11-28,313.85,2025-12-09,9.2,2941990,0.0161,,,2025-11-11,309.0,256.06,2025-05-14,2025-11-11,True,23252000000,177757831168,0.0466,45141998592,186374708325,27.23,3.91
RYDAF,Shell plc,"Shell plc operates as an energy and petrochemical company Europe, Asia, Oceania, Africa, the United States, and other Americas.",USD,36.95,36.95,2025-12-30,28.99,2024-12-31,1.4,38.55,2025-11-11,35.54,2025-12-11,7.8,3813,0.0186,,,2025-10-23,296.0,29.63,2025-04-17,2025-11-11,False,97863000000,214878994432,0.1024,40924004352,216924571136,17.6,1.55
CAAP,CORPORACION AMERICA AIRPORTS S.A.,Corporación América Airports S.,USD,26.25,26.25,2025-12-30,15.97,2025-04-08,48.1,26.5,2025-12-03,25.04,2025-12-17,5.5,163933,0.0251,,,2025-05-09,31.0,17.49,2025-10-07,2025-11-11,True,572591000,4431909376,0.1061,469282944,3322212547,15.59,1.33
COLB,"COLUMBIA BANKING SYSTEM, INC.","Columbia Banking System, Inc. operates as the Bank holding company of Columbia Bank that provides banking, private banking, mortgage, and other financial services in the United States.",USD,28.25,28.25,2025-12-30,19.86,2025-04-10,10.3,39.59,2021-03-12,15.52,2023-05-12,60.8,2599766,0.0205,2023-06-07,26.0,2025-08-22,134.0,20.54,2025-04-14,2025-11-10,True,1639442000,8783668224,0.0581,852999936,7261248241,17.05,1.26
CNX,CNX Resources Corp,"CNX Resources Corporation, an independent natural gas and midstream company, engages in the acquisition, exploration, development, and production of natural gas properties in the Appalachian Basin.",USD,37.52,37.52,2025-12-30,27.38,2025-01-31,11.7,41.09,2024-11-22,27.38,2025-01-31,33.4,2007586,0.0183,2025-11-10,283.0,2025-11-10,283.0,28.11,2025-08-18,2025-11-10,True,989502000,5092380160,0.0691,2773747944,6831197323,26.06,4.83
COKE,"Coca-Cola Consolidated, Inc.","Coca-Cola Consolidated, Inc. , together with its subsidiaries, manufactures, markets, and distributes nonalcoholic beverages primarily products of The Coca-Cola Company in the United States.",USD,154.66,154.66,2025-12-30,105.28,2025-06-17,30.3,168.08,2025-12-05,154.62,2025-12-29,8.0,540440,0.0162,,,2025-11-07,143.0,105.28,2025-06-17,2025-11-07,True,1661238000,9905830912,0.0451,234886016,7277315640,17.69,0.39
IHG,INTERCONTINENTAL HOTELS GROUP PLC /NEW/,"InterContinental Hotels Group PLC owns, manages, franchises, and leases hotels in the United Kingdom, the United States, and internationally.",USD,141.64,141.64,2025-12-30,95.55,2025-04-08,16.7,143.42,2025-12-22,141.64,2025-12-30,1.2,156396,0.014,,,2025-09-08,153.0,99.77,2025-04-21,2025-11-07,True,2019000000,20863113216,0.0348,3489000000,18576534082,24.02,5.4
THR,"Thermon Group Holdings, Inc.","Thermon Group Holdings, Inc. provides engineered industrial process heating solutions for process industries in the United States and Latin America, Canada, Europe, the Middle East, Africa, and the Asia-Pacific.",USD,37.34,37.34,2025-12-30,23.6,2025-04-08,36.9,40.91,2025-12-11,37.34,2025-12-30,8.7,346943,0.0254,,,2025-11-06,212.0,24.08,2025-04-21,2025-11-06,True,158861000,1243906176,0.0481,121871008,918076759,17.69,2.43
HAE,HAEMONETICS CORP,"Haemonetics Corporation, a medical technology company, provides a suite of hospital technologies solutions in the United States and internationally.",USD,80.98,80.98,2025-12-30,47.67,2025-09-25,65.9,139.48,2021-02-08,43.77,2022-01-27,68.6,765133,0.0384,2022-02-09,13.0,2025-11-06,42.0,47.67,2025-09-25,2025-11-06,True,444013000,4121082624,0.0587,928086944,3224696697,14.06,3.62
MCK,MCKESSON CORP,McKesson Corporation provides healthcare services in the United States and internationally.,USD,827.33,827.33,2025-12-30,563.82,2025-01-02,8.2,888.45,2025-11-25,795.01,2025-12-09,10.5,747886,0.013,,,2025-07-07,186.0,657.61,2025-08-12,2025-11-06,True,10971000000,101327257600,0.0644,5951000320,87921561025,25.91,0.99
TDC,TERADATA CORP /DE/,"Teradata Corporation, together with its subsidiaries, provides a connected hybrid cloud analytics and data platform in the United States and internationally.",USD,30.89,30.89,2025-12-30,19.2,2025-04-07,44.3,58.89,2021-10-25,19.2,2025-04-07,67.4,1464016,0.042,2025-11-05,212.0,2025-11-05,212.0,19.95,2025-04-21,2025-11-05,True,356000000,2937060096,0.1091,167000000,2052275072,18.67,0.59
FLOC,Flowco Holdings Inc.,"Flowco Holdings Inc. , through its subsidiaries, provides production optimization, artificial lift, and methane abatement solutions for the oil and natural gas industry in the United States.",USD,18.78,18.78,2025-12-30,14.18,2025-10-10,24.7,29.83,2025-01-21,14.18,2025-10-10,52.5,309443,0.0301,2025-11-05,26.0,2025-11-05,26.0,14.18,2025-10-10,2025-11-05,True,46496000,1817053440,0.0866,257451000,1583937173,15.22,1.88
WAT,WATERS CORP /DE/,"Waters Corporation provides analytical workflow solutions in Asia, the Americas, and Europe.",USD,383.99,383.99,2025-12-30,277.72,2025-08-06,20.1,424.7,2021-09-08,236.7,2023-10-30,44.3,549736,0.0157,2023-12-13,44.0,2025-11-04,90.0,277.72,2025-08-06,2025-11-04,True,2680666000,23619586048,0.0352,1080112960,17617694167,25.0,1.79
ENIC,Enel Chile S.A.,Enel Chile S. A.,USD,4.02,4.02,2025-12-30,2.68,2024-12-30,3.6,4.04,2025-12-26,,,,448966,0.0153,,,2025-05-05,126.0,3.0,2025-04-14,2025-11-03,True,2425483556,5837657600,0.1083,3613481024,7957140961,122.04,4.19
ATKR,Atkore Inc.,"Atkore Inc. engages in the manufacture and sale of electrical, mechanical, safety, and infrastructure products and solutions in the United States and internationally.",USD,63.77,63.77,2025-12-30,51.22,2025-04-08,-0.1,188.05,2024-04-01,51.22,2025-04-08,72.8,547330,0.025,2025-05-08,30.0,2025-05-08,30.0,53.27,2025-08-11,2025-11-03,False,2061030000,2291330816,0.1167,425121024,2242592883,16.18,1.44
AME,AMETEK INC/,"AMETEK, Inc. manufactures and sells electronic instruments (EIG) and electromechanical (EMG) devices in the United States and internationally.",USD,207.03,207.03,2025-12-30,150.67,2025-04-08,10.6,208.69,2025-12-29,,,,1441006,0.0142,,,2025-10-30,205.0,154.49,2025-04-21,2025-10-31,True,4838907000,48509566976,0.0355,2307172992,38162775282,33.22,1.4
RTPPF,RIO TINTO PLC,"Rio Tinto Group engages in exploring, mining, and processing mineral resources worldwide.",USD,81.26,81.26,2025-12-30,51.73,2025-04-08,26.8,82.73,2025-12-26,,,,9213,0.0133,,,2025-10-09,184.0,54.7,2025-04-16,2025-10-31,True,55117000000,136633671680,0.0566,14306000896,105661422835,7.91,2.39
