ticker,title,cik
ABM,ABM INDUSTRIES INC /DE/,771497
ABNB,"Airbnb, Inc.",1559720
ABOS,"Acumen Pharmaceuticals, Inc.",1576885
ABP,"Abpro Holdings, Inc.",1893219
ABPWW,"Abpro Holdings, Inc.",1893219
ABQQ,AI Era Corp.,1605331
ABQQD,AI Era Corp.,1605331
ABR,ARBOR REALTY TRUST INC,1253986
ABR-PD,ARBOR REALTY TRUST INC,1253986
ABR-PE,ARBOR REALTY TRUST INC,1253986
ABR-PF,ARBOR REALTY TRUST INC,1253986
ABSI,Absci Corp,1672688
ABT,ABBOTT LABORATORIES,1800
ABTC,American Bitcoin Corp.,1755953
ABTI,ALTEROLA BIOTECH INC.,1442999
ABTS,Abits Group Inc,1864055
ABUS,Arbutus Biopharma Corp,1447028
ABVC,"ABVC BIOPHARMA, INC.",1173313
ABVE,Above Food Ingredients Inc.,1979484
ABVEW,Above Food Ingredients Inc.,1979484
ABVX,Abivax S.A.,1956827
ABX,BARRICK MINING CORP,756894
ABXXF,Abaxx Technologies Inc.,1971975
ACA,"Arcosa, Inc.",1739445
ACAD,ACADIA PHARMACEUTICALS INC,1070494
ACAT,NP Life Sciences Health Industry Group Inc.,1781726
ACB,AURORA CANNABIS INC,1683541
ACBM,"ACRO BIOMEDICAL CO., LTD.",1622996
ACCL,Acco Group Holdings Ltd,2038378
ACCO,ACCO BRANDS Corp,712034
ACCS,ACCESS Newswire Inc.,843006
ACDC,ProFrac Holding Corp.,1881487
ACEL,"Accel Entertainment, Inc.",1698991
ACET,"Adicet Bio, Inc.",1720580
ACFN,"ACORN ENERGY, INC.",880984
ACGL,ARCH CAPITAL GROUP LTD.,947484
ACGLN,ARCH CAPITAL GROUP LTD.,947484
ACGLO,ARCH CAPITAL GROUP LTD.,947484
ACGP,"Associated Capital Group, Inc.",1642122
ACH,ALUMINUM CORP OF CHINA LTD,1161611
ACHC,"Acadia Healthcare Company, Inc.",1520697
ACHR,Archer Aviation Inc.,1824502
ACHR-WT,Archer Aviation Inc.,1824502
ACHV,"ACHIEVE LIFE SCIENCES, INC.",949858
ACI,"Albertsons Companies, Inc.",1646972
ACIC,AMERICAN COASTAL INSURANCE Corp,1401521
ACIU,AC Immune SA,1651625
ACIW,"ACI WORLDWIDE, INC.",935036
ACLS,AXCELIS TECHNOLOGIES INC,1113232
ACLX,"Arcellx, Inc.",1786205
ACM,AECOM,868857
ACMIF,Allied Critical Metals Corp.,2065282
ACMR,"ACM Research, Inc.",1680062
ACN,Accenture plc,1467373
ACNB,ACNB CORP,715579
ACNT,ASCENT INDUSTRIES CO.,95953
ACOG,Alpha Cognition Inc.,1655923
ACON,"Aclarion, Inc.",1635077
ACONW,"Aclarion, Inc.",1635077
ACP,abrdn Income Credit Strategies Fund,1503290
ACP-PA,abrdn Income Credit Strategies Fund,1503290
ACPS,"AC Partners, Inc.",1133116
ACR,ACRES Commercial Realty Corp.,1332551
ACR-PC,ACRES Commercial Realty Corp.,1332551
ACR-PD,ACRES Commercial Realty Corp.,1332551
ACRE,Ares Commercial Real Estate Corp,1529377
ACRG,"American Clean Resources Group, Inc.",773717
ACRL,"Atacama Resources International, Inc.",1584618
ACRS,"Aclaris Therapeutics, Inc.",1557746
ACRV,"Acrivon Therapeutics, Inc.",1781174
ACT,"Enact Holdings, Inc.",1823529
ACTG,ACACIA RESEARCH CORP,934549
ACTU,"ACTUATE THERAPEUTICS, INC.",1652935
ACU,ACME UNITED CORP,2098
ACUT,Accustem Sciences Inc.,1850767
ACV,Virtus Diversified Income & Convertible Fund,1636289
ACVA,ACV Auctions Inc.,1637873
ACXP,"Acurx Pharmaceuticals, Inc.",1736243
AD,"ARRAY DIGITAL INFRASTRUCTURE, INC.",821130
ADAC,American Drive Acquisition Co,2083002
ADACU,American Drive Acquisition Co,2083002
ADAG,Adagene Inc.,1818838
ADAM,"ADAMAS TRUST, INC.",1273685
ADAMG,"ADAMAS TRUST, INC.",1273685
ADAMH,"ADAMAS TRUST, INC.",1273685
ADAMI,"ADAMAS TRUST, INC.",1273685
ADAML,"ADAMAS TRUST, INC.",1273685
ADAMM,"ADAMAS TRUST, INC.",1273685
ADAMN,"ADAMAS TRUST, INC.",1273685
ADAMZ,"ADAMAS TRUST, INC.",1273685
ADAPY,Adaptimmune Therapeutics PLC,1621227
ADBE,ADOBE INC.,796343
ADBT,"Advasa Holdings, Inc.",2084227
ADC,AGREE REALTY CORP,917251
ADC-PA,AGREE REALTY CORP,917251
ADCT,ADC Therapeutics SA,1771910
ADDTF,Addtech AB/ADR,1766868
ADEA,Adeia Inc.,1803696
ADGM,"Adagio Medical Holdings, Inc.",2006986
ADI,ANALOG DEVICES INC,6281
ADIA,"Adia Nutrition, Inc.",1160420
ADIL,"ADIAL PHARMACEUTICALS, INC.",1513525
ADM,Archer-Daniels-Midland Co,7084
ADMA,"ADMA BIOLOGICS, INC.",1368514
ADMG,ADAMANT DRI PROCESSING & MINERALS GROUP,1171008
ADMQ,"ADM ENDEAVORS, INC.",1588014
ADMT,"ADM TRONICS UNLIMITED, INC.",849401
ADN,"ADVENT TECHNOLOGIES HOLDINGS, INC.",1744494
ADNH,"ADVENT TECHNOLOGIES HOLDINGS, INC.",1744494
ADNT,Adient plc,1670541
ADNWW,"ADVENT TECHNOLOGIES HOLDINGS, INC.",1744494
ADOOY,Adaro Energy PT/ADR/,1489079
ADP,AUTOMATIC DATA PROCESSING INC,8670
ADPT,Adaptive Biotechnologies Corp,1478320
ADSE,Ads-Tec Energy Public Ltd Co,1879248
ADSEW,Ads-Tec Energy Public Ltd Co,1879248
ADSK,"Autodesk, Inc.",769397
ADT,ADT Inc.,1703056
ADTI,"Adapti, Inc.",1420924
ADTN,"ADTRAN Holdings, Inc.",926282
ADTTF,ADVANTEST CORP,1158838
ADTX,"Aditxt, Inc.",1726711
ADUR,ADURO CLEAN TECHNOLOGIES INC.,1863934
ADUS,Addus HomeCare Corp,1468328
ADV,Advantage Solutions Inc.,1776661
ADVB,Advanced Biomed Inc.,1941029
ADX,"ADAMS DIVERSIFIED EQUITY FUND, INC.",2230
ADXN,Addex Therapeutics Ltd.,1574232
ADXS,"Ayala Pharmaceuticals, Inc.",1100397
ADYYF,Adyen N.V./ADR,1788707
ADZCF,DEUTSCHE BANK AKTIENGESELLSCHAFT,1159508
AEAE,AltEnergy Acquisition Corp,1852016
AEAEU,AltEnergy Acquisition Corp,1852016
AEAEW,AltEnergy Acquisition Corp,1852016
AEAQ,Activate Energy Acquisition Corp.,2083689
AEAQU,Activate Energy Acquisition Corp.,2083689
AEBI,Aebi Schmidt Holding AG,2048519
AEBMF,ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR,1174511
AEBMY,ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR,1174511
AEBZY,ANADOLU EFES BIRACILIK VE MALT SANAYI A S/ADR,1174511
AEC,ANFIELD ENERGY INC.,1519469
AEE,AMEREN CORP,1002910
AEF,"abrdn Emerging Markets ex-China Fund, Inc.",846676
AEFC,AEGON LTD.,769218
AEG,AEGON LTD.,769218
AEGOF,AEGON LTD.,769218
AEGXF,Aecon Group Inc.,1309167
AEHGS,"Arrived Homes 5, LLC",2032732
AEHL,Antelope Enterprise Holdings Ltd,1470683
AEHR,AEHR TEST SYSTEMS,1040470
AEI,Alset Inc.,1750106
AEIS,ADVANCED ENERGY INDUSTRIES INC,927003
AEM,AGNICO EAGLE MINES LTD,2809
AEMD,AETHLON MEDICAL INC,882291
AENT,ALLIANCE ENTERTAINMENT HOLDING CORP,1823584
AENTW,ALLIANCE ENTERTAINMENT HOLDING CORP,1823584
AEO,AMERICAN EAGLE OUTFITTERS INC,919012
AEON,"AEON Biopharma, Inc.",1837607
AEP,AMERICAN ELECTRIC POWER CO INC,4904
AER,AerCap Holdings N.V.,1378789
AERG,"APPLIED ENERGETICS, INC.",879911
AERGP,"APPLIED ENERGETICS, INC.",879911
AERO,"Grupo Aeromexico, S.A.B. de C.V.",1561861
AERT,"Aeries Technology, Inc.",1853044
AERTW,"Aeries Technology, Inc.",1853044
AES,AES CORP,874761
AESI,Atlas Energy Solutions Inc.,1984060
AEVA,"Aeva Technologies, Inc.",1789029
AEVAW,"Aeva Technologies, Inc.",1789029
AEXA,American Exceptionalism Acquisition Corp. A,2079173
AEYE,AUDIOEYE INC,1362190
AFA,FARLONG HOLDING Corp,2054964
AFB,ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND,1162027
AFBI,"Affinity Bancshares, Inc.",1823406
AFCG,Advanced Flower Capital Inc.,1822523
AFG,AMERICAN FINANCIAL GROUP INC,1042046
AFGB,AMERICAN FINANCIAL GROUP INC,1042046
AFGC,AMERICAN FINANCIAL GROUP INC,1042046
AFGD,AMERICAN FINANCIAL GROUP INC,1042046
AFGE,AMERICAN FINANCIAL GROUP INC,1042046
AFIB,"Acutus Medical, Inc.",1522860
AFJK,"Aimei Health Technology Co., Ltd.",1979005
AFJKR,"Aimei Health Technology Co., Ltd.",1979005
AFJKU,"Aimei Health Technology Co., Ltd.",1979005
AFL,AFLAC INC,4977
AFNDY,Allfunds Group PLC./ADR,2101973
AFNX,AfterNext Acquisition I Corp.,2087035
AFRI,Forafric Global PLC,1903870
AFRIW,Forafric Global PLC,1903870
AFRM,"Affirm Holdings, Inc.",1820953
AFYA,Afya Ltd,1771007
AG,FIRST MAJESTIC SILVER CORP,1308648
AGAE,Allied Gaming & Entertainment Inc.,1708341
AGCC,Agencia Comercial Spirits Ltd.,2060016
AGCO,AGCO CORP /DE,880266
AGD,abrdn Global Dynamic Dividend Fund,1362481
AGEN,AGENUS INC,1098972
AGGI,"Allied Energy, Inc.",1109262
AGH,Aureus Greenway Holdings Inc,2009312
AGI,ALAMOS GOLD INC,1178819
AGIG,"ABUNDIA GLOBAL IMPACT GROUP, INC.",1156041
AGIO,"AGIOS PHARMACEUTICALS, INC.",1439222
AGL,"agilon health, inc.",1831097
AGLY,Atlantis Glory Inc.,1673504
AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,845877
AGM-A,FEDERAL AGRICULTURAL MORTGAGE CORP,845877
AGM-PD,FEDERAL AGRICULTURAL MORTGAGE CORP,845877
AGM-PE,FEDERAL AGRICULTURAL MORTGAGE CORP,845877
AGM-PF,FEDERAL AGRICULTURAL MORTGAGE CORP,845877
AGM-PG,FEDERAL AGRICULTURAL MORTGAGE CORP,845877
AGM-PH,FEDERAL AGRICULTURAL MORTGAGE CORP,845877
AGMH,"AGM GROUP HOLDINGS, INC.",1705402
AGMRF,"Silver Mountain Resources, Inc.",2022059
AGMWF,"Silver Mountain Resources, Inc.",2022059
AGNC,AGNC Investment Corp.,1423689
AGNCL,AGNC Investment Corp.,1423689
AGNCM,AGNC Investment Corp.,1423689
AGNCN,AGNC Investment Corp.,1423689
AGNCO,AGNC Investment Corp.,1423689
AGNCP,AGNC Investment Corp.,1423689
AGNCZ,AGNC Investment Corp.,1423689
AGNPF,Algernon Health Inc.,1642178
AGO,ASSURED GUARANTY LTD,1273813
AGPU,Axe Compute Inc.,1446159
AGQ,ProShares Trust II,1415311
AGQPF,ALGONQUIN POWER & UTILITIES CORP.,1174169
AGRO,Adecoagro S.A.,1499505
AGRZ,Agroz Inc.,2009233
AGSS,"AMERIGUARD SECURITY SERVICES, INC.",1514443
AGTX,Agentix Corp.,1603345
AGX,ARGAN INC,100591
AGXPF,SILVER X MINING CORP.,1482436
AGYS,AGILYSYS INC,78749
AHCO,AdaptHealth Corp.,1725255
AHG,Akso Health Group,1702318
AHH,"Armada Hoffler Properties, Inc.",1569187
AHH-PA,"Armada Hoffler Properties, Inc.",1569187
AHII,American Heritage International Inc.,1545236
AHL,ASPEN INSURANCE HOLDINGS LTD,1267395
AHL-PD,ASPEN INSURANCE HOLDINGS LTD,1267395
AHL-PE,ASPEN INSURANCE HOLDINGS LTD,1267395
AHL-PF,ASPEN INSURANCE HOLDINGS LTD,1267395
AHMA,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C,2010959
AHNRF,ATHENA GOLD CORP,1304409
AHR,"American Healthcare REIT, Inc.",1632970
AHRO,"Authentic Holdings, Inc.",1338929
AHT,ASHFORD HOSPITALITY TRUST INC,1232582
AHT-PD,ASHFORD HOSPITALITY TRUST INC,1232582
AHT-PF,ASHFORD HOSPITALITY TRUST INC,1232582
AHT-PG,ASHFORD HOSPITALITY TRUST INC,1232582
AHT-PH,ASHFORD HOSPITALITY TRUST INC,1232582
AHT-PI,ASHFORD HOSPITALITY TRUST INC,1232582
AI,"C3.ai, Inc.",1577526
AIB,"BlockchAIn Digital Infrastructure, Inc.",2070542
AIBRF,AIB Group plc/ADR,1728918
AIBT,"AIBOTICS, INC.",1763329
AIDG,"AIS Holdings Group, Inc.",1702015
AIEV,"Thunder Power Holdings, Inc.",1912582
AIFF,"FIREFLY NEUROSCIENCE, INC.",803578
AIFU,AIFU Inc.,1413855
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",5272
AIGO,AIGO HOLDING Ltd,2025255
AIHS,Senmiao Technology Ltd,1711012
AII,"American Integrity Insurance Group, Inc.",2007587
AIIA,AI Infrastructure Acquisition Corp.,2073553
AIIA-RI,AI Infrastructure Acquisition Corp.,2073553
AIIA-UN,AI Infrastructure Acquisition Corp.,2073553
AIIO,ROBO.AI INC.,1932737
AIIOW,ROBO.AI INC.,1932737
AIJTY,Jianpu Technology Inc.,1713923
AIKCF,Aica Kogyo Co Limited/ADR,2087856
AILIH,Ameren Illinois Co,18654
AILIM,Ameren Illinois Co,18654
AILIN,Ameren Illinois Co,18654
AILIO,Ameren Illinois Co,18654
AILIP,Ameren Illinois Co,18654
AILLI,Ameren Illinois Co,18654
AILLM,Ameren Illinois Co,18654
AILLN,Ameren Illinois Co,18654
AILLO,Ameren Illinois Co,18654
AILLP,Ameren Illinois Co,18654
AIM,AIM ImmunoTech Inc.,946644
AIMD,"Ainos, Inc.",1014763
AIMDW,"Ainos, Inc.",1014763
AIMI,AIM ImmunoTech Inc.,946644
AIMTF,Aimfinity Investment Corp. I,1903464
AIMUF,Aimfinity Investment Corp. I,1903464
AIMWF,Aimfinity Investment Corp. I,1903464
AIN,ALBANY INTERNATIONAL CORP /DE/,819793
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund,1778114
AIOT,"Powerfleet, Inc.",1774170
AIP,"Arteris, Inc.",1667011
AIPG,AI Technology Group Inc.,1289047
AIQUF,L AIR LIQUIDE SA /FI,1161167
AIR,AAR CORP,1750
AIRE,reAlpha Tech Corp.,1859199
AIRG,AIRGAIN INC,1272842
AIRI,AIR INDUSTRIES GROUP,1009891
AIRJ,AirJoule Technologies Corp.,1855474
AIRJW,AirJoule Technologies Corp.,1855474
AIRO,"AIRO Group Holdings, Inc.",1927958
AIRRF,Aurion Resources Ltd.,1476573
AIRS,"Airsculpt Technologies, Inc.",1870940
AIRT,AIR T INC,353184
AIRTP,AIR T INC,353184
AISP,"Airship AI Holdings, Inc.",1842566
AISPW,"Airship AI Holdings, Inc.",1842566
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,109563
AITTF,TRENCHANT TECHNOLOGIES CAPITAL CORP.,1520556
AITX,Artificial Intelligence Technology Solutions Inc.,1498148
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,922864
AIXC,"AIxCrypto Holdings, Inc.",1460702
AIXI,Xiao-I Corp,1935172
AIXN,"AiXin Life International, Inc.",835662
AIZ,"ASSURANT, INC.",1267238
AIZN,"ASSURANT, INC.",1267238
AJG,Arthur J. Gallagher & Co.,354190
AKA,A.K.A. BRANDS HOLDING CORP.,1865107
AKAM,AKAMAI TECHNOLOGIES INC,1086222
AKAN,AKANDA CORP.,1888014
AKBA,"Akebia Therapeutics, Inc.",1517022
AKCLY,Aica Kogyo Co Limited/ADR,2087856
AKO-A,ANDINA BOTTLING CO INC,925261
AKO-B,ANDINA BOTTLING CO INC,925261
AKOM,Aerkomm Inc.,1590496
AKPPS,Ark7 Properties Plus LLC,1923734
AKR,ACADIA REALTY TRUST,899629
AKTS,"Aktis Oncology, Inc.",2035832
AKTX,Akari Therapeutics Plc,1541157
AL,AIR LEASE CORP,1487712
ALAB,"Astera Labs, Inc.",1736297
ALAR,Alarum Technologies Ltd.,1725332
ALB,ALBEMARLE CORP,915913
ALB-PA,ALBEMARLE CORP,915913
ALBT,Avalon GloboCare Corp.,1630212
ALC,ALCON INC,1167379
ALCE,"Alternus Clean Energy, Inc.",1883984
ALCO,"ALICO, INC.",3545
ALCY,Alchemy Investments Acquisition Corp 1,1901336
ALCYU,Alchemy Investments Acquisition Corp 1,1901336
ALCYW,Alchemy Investments Acquisition Corp 1,1901336
ALD,"Altech Digital Co., Ltd.",2067715
ALDA,ATLANTICA INC,1062506
ALDF,Aldel Financial II Inc.,2031561
ALDFU,Aldel Financial II Inc.,2031561
ALDFW,Aldel Financial II Inc.,2031561
ALDS,APPlife Digital Solutions Inc,1755101
ALDX,"Aldeyra Therapeutics, Inc.",1341235
ALEC,"Alector, Inc.",1653087
ALEGF,ALLEGRO.EU SA/ADR,2046098
ALEH,ALE Group Holding Ltd,1806905
ALEUY,ALLEGRO.EU SA/ADR,2046098
ALEX,"Alexander & Baldwin, Inc.",1545654
ALF,Centurion Acquisition Corp.,2010930
ALFUU,Centurion Acquisition Corp.,2010930
ALFUW,Centurion Acquisition Corp.,2010930
ALG,ALAMO GROUP INC,897077
ALGM,"ALLEGRO MICROSYSTEMS, INC.",866291
ALGN,ALIGN TECHNOLOGY INC,1097149
ALGS,"Aligos Therapeutics, Inc.",1799448
ALGT,Allegiant Travel CO,1362468
ALH,Alliance Laundry Holdings Inc.,1317685
ALHC,"Alignment Healthcare, Inc.",1832466
ALIS,Calisa Acquisition Corp,2026767
ALISR,Calisa Acquisition Corp,2026767
ALISU,Calisa Acquisition Corp,2026767
ALIT,"Alight, Inc. / Delaware",1809104
ALK,"ALASKA AIR GROUP, INC.",766421
ALKS,Alkermes plc.,1520262
ALKT,"ALKAMI TECHNOLOGY, INC.",1529274
ALL,ALLSTATE CORP,899051
ALL-PB,ALLSTATE CORP,899051
ALL-PH,ALLSTATE CORP,899051
ALL-PI,ALLSTATE CORP,899051
ALL-PJ,ALLSTATE CORP,899051
ALLE,Allegion plc,1579241
ALLO,"Allogene Therapeutics, Inc.",1737287
ALLR,"Allarity Therapeutics, Inc.",1860657
ALLT,Allot Ltd.,1365767
ALLY,Ally Financial Inc.,40729
ALM,Almonty Industries Inc.,1670061
ALMMF,ALUMINUM CORP OF CHINA LTD,1161611
ALMP,Almco Plumbing Inc,1956237
ALMS,ALUMIS INC.,1847367
ALMU,"Aeluma, Inc.",1828805
ALNT,ALLIENT INC,46129
ALNY,"ALNYLAM PHARMACEUTICALS, INC.",1178670
ALOIS,"Arrived Homes 5, LLC",2032732
ALOT,"AstroNova, Inc.",8146
ALPIB,ALPINE BANKS OF COLORADO,872716
ALPP,"ALPINE 4 HOLDINGS, INC.",1606698
ALPS,Alps Group Inc,2025774
ALPWF,Alps Group Inc,2025774
ALRM,"Alarm.com Holdings, Inc.",1459200
ALRS,ALERUS FINANCIAL CORP,903419
ALRTF,ALR Technologies SG Ltd.,1930419
ALSAF,Alpha Star Acquisition Corp,1865111
ALSN,Allison Transmission Holdings Inc,1411207
ALSTF,Alpha Star Acquisition Corp,1865111
ALSUF,Alpha Star Acquisition Corp,1865111
ALSWF,Alpha Star Acquisition Corp,1865111
ALT,"Altimmune, Inc.",1326190
ALTB,Alpine Auto Brokers Inc.,1642365
ALTG,ALTA EQUIPMENT GROUP INC.,1759824
ALTG-PA,ALTA EQUIPMENT GROUP INC.,1759824
ALTI,"AlTi Global, Inc.",1838615
ALTO,"Alto Ingredients, Inc.",778164
ALTS,ALT5 Sigma Corp,862861
ALTX,ALTEX INDUSTRIES INC,775057
ALUB,Alussa Energy Acquisition Corp. II,2041493
ALUB-UN,Alussa Energy Acquisition Corp. II,2041493
ALUR,"ALLURION TECHNOLOGIES, INC.",1964979
ALUR-WT,"ALLURION TECHNOLOGIES, INC.",1964979
ALV,AUTOLIV INC,1034670
ALVO,Alvotech,1898416
ALVOW,Alvotech,1898416
ALX,ALEXANDERS INC,3499
ALXO,ALX ONCOLOGY HOLDINGS INC,1810182
ALYAF,Alithya Group inc,1734520
ALZN,"Alzamend Neuro, Inc.",1677077
AM,Antero Midstream Corp,1623925
AMAL,Amalgamated Financial Corp.,1823608
AMAT,APPLIED MATERIALS INC /DE,6951
AMBA,AMBARELLA INC,1280263
AMBI,Ambipar Emergency Response,1937441
AMBIQ,Ambipar Emergency Response,1937441
AMBO,Ambow Education Holding Ltd.,1494558
AMBP,Ardagh Metal Packaging S.A.,1845097
AMBQ,"Ambiq Micro, Inc.",1500412
AMBR,Amber International Holding Ltd,1697818
AMBWQ,Ambipar Emergency Response,1937441
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",1411579
AMCCF,Amcor plc,1748790
AMCI,AMC Robotics Corp,1937891
AMCR,Amcor plc,1748790
AMCX,AMC Networks Inc.,1514991
AMD,ADVANCED MICRO DEVICES INC,2488
AME,AMETEK INC/,1037868
AMG,"AFFILIATED MANAGERS GROUP, INC.",1004434
AMGN,AMGEN INC,318154
AMH,American Homes 4 Rent,1562401
AMH-PG,American Homes 4 Rent,1562401
AMH-PH,American Homes 4 Rent,1562401
AMIX,"Autonomix Medical, Inc.",1617867
AMJB,JPMORGAN CHASE & CO,19617
AMKR,"AMKOR TECHNOLOGY, INC.",1047127
AMLIF,American Lithium Corp.,1699880
AMLX,"Amylyx Pharmaceuticals, Inc.",1658551
AMMJ,"American Cannabis Company, Inc.",945617
AMN,AMN HEALTHCARE SERVICES INC,1142750
AMOD,"ALPHA MODUS HOLDINGS, INC.",1862463
AMODW,"ALPHA MODUS HOLDINGS, INC.",1862463
AMP,AMERIPRISE FINANCIAL INC,820027
AMPE,"Ampio Pharmaceuticals, Inc.",1411906
AMPG,"AmpliTech Group, Inc.",1518461
AMPGW,"AmpliTech Group, Inc.",1518461
AMPH,"Amphastar Pharmaceuticals, Inc.",1297184
AMPL,"Amplitude, Inc.",1866692
AMPM,AM PM Group Ltd,2049323
AMPWF,Ardagh Metal Packaging S.A.,1845097
AMPX,"Amprius Technologies, Inc.",1899287
AMPX-WT,"Amprius Technologies, Inc.",1899287
AMPY,Amplify Energy Corp.,1533924
AMR,"Alpha Metallurgical Resources, Inc.",1704715
AMRC,"Ameresco, Inc.",1488139
AMRN,AMARIN CORP PLC\UK,897448
AMRQF,AMAROQ LTD.,2076631
AMRX,"Amneal Pharmaceuticals, Inc.",1723128
AMRZ,Amrize Ltd,2035989
AMS,AMERICAN SHARED HOSPITAL SERVICES,744825
AMSC,AMERICAN SUPERCONDUCTOR CORP /DE/,880807
AMSF,AMERISAFE INC,1018979
AMST,Amesite Inc.,1807166
AMSYF,ArcelorMittal,1243429
AMT,AMERICAN TOWER CORP /MA/,1053507
AMTB,Amerant Bancorp Inc.,1734342
AMTD,AMTD IDEA GROUP,1769731
AMTM,"Amentum Holdings, Inc.",2011286
AMTU,"AMATUHI HOLDINGS, INC.",2078570
AMTX,"AEMETIS, INC",738214
AMUB,UBS AG,1114446
AMVIF,AUMOVIO SE,2085236
AMVOY,AUMOVIO SE,2085236
AMWD,AMERICAN WOODMARK CORP,794619
AMWL,American Well Corp,1393584
AMX,AMERICA MOVIL SAB DE CV/,1129137
AMXOF,AMERICA MOVIL SAB DE CV/,1129137
AMZE,"AMAZE HOLDINGS, INC.",1880343
AMZN,AMAZON COM INC,1018724
AN,"AUTONATION, INC.",350698
ANAB,"ANAPTYSBIO, INC",1370053
ANDE,"Andersons, Inc.",821026
ANDG,Andersen Group Inc.,2065708
ANEB,"Anebulo Pharmaceuticals, Inc.",1815974
ANET,"Arista Networks, Inc.",1596532
ANF,ABERCROMBIE & FITCH CO /DE/,1018840
ANG-PD,American National Group Inc.,1039828
ANGH,Anghami Inc,1871983
ANGHW,Anghami Inc,1871983
ANGI,Angi Inc.,1705110
ANGO,ANGIODYNAMICS INC,1275187
ANGX,"Angel Studios, Inc.",1865200
ANIK,"Anika Therapeutics, Inc.",898437
ANIP,ANI PHARMACEUTICALS INC,1023024
ANIX,Anixa Biosciences Inc,715446
ANJFY,"Anjoy Foods Group Co., Ltd./ADR",2098397
ANKM,"Ankam, Inc.",1781629
ANL,Adlai Nortye Ltd.,1944552
ANNA,"AleAnna, Inc.",1845123
ANNAW,"AleAnna, Inc.",1845123
ANNSF,Aena S.A./ADR,1700171
ANNX,"Annexon, Inc.",1528115
ANPA,Rich Sparkle Holdings Ltd,2031688
ANPCF,ANGLE plc,1620678
ANPCY,ANGLE plc,1620678
ANRO,"Alto Neuroscience, Inc.",1999480
ANSC,Agriculture & Natural Solutions Acquisition Corp,1854149
ANSCU,Agriculture & Natural Solutions Acquisition Corp,1854149
ANSCW,Agriculture & Natural Solutions Acquisition Corp,1854149
ANTA,Antalpha Platform Holding Co,2044255
ANTX,"AN2 Therapeutics, Inc.",1880438
ANVI,"ANVI GLOBAL HOLDINGS, INC.",1570132
ANVS,"Annovis Bio, Inc.",1477845
ANY,Sphere 3D Corp.,1591956
AOAO,Alpha One Inc.,2042320
AOD,abrdn Total Dynamic Dividend Fund,1379400
AOMD,"Angel Oak Mortgage REIT, Inc.",1766478
AOMFF,ALSTOM,1062066
AOMN,"Angel Oak Mortgage REIT, Inc.",1766478
